Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_Mm,Co2_Emissions_Mt,Crop_Yield_Mt_Per_Ha,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_Kg_Per_Ha,Fertilizer_Use_Kg_Per_Ha,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_Usd,Climate_Stress_Index,Yield_Per_Input
1990,India,West Bengal,Cotton,0.518379595,0.617198663,0.572881356,0.4625,0,0.457546121,0.456491298,0.620448179,0.661474707,Crop Rotation,0.663860322,395.544,0.02850821
1990,China,North,Rice,0.214803701,0.924844259,0.660338983,0.345833333,0.7,0.184152034,0.060612122,0.477090836,0.496713347,Drought-resistant Crops,0.242681916,566.328,0.037565217
1990,Russia,Central,Coffee,0.92548137,0.012787906,0.546440678,0.495833333,0.8,0.659813292,0.419483897,0.49719888,0.051586167,Crop Rotation,0.540184701,63.382,0.036150628
1990,Canada,British Columbia,Barley,0.59539885,0.6267503,0.123050847,0.736111111,0.5,0.502222716,0.072414483,0.887755102,0.496713347,Organic Farming,0.934195529,398.835,0.038869258
1990,France,Grand Est,Soybeans,0.505626407,0.453152683,0.166440678,0.618055556,0.5,0.577906201,0.49829966,0.49719888,0.496713347,Drought-resistant Crops,0.956208067,300.944,0.041248017
1990,Nigeria,North Central,Sugarcane,0.591897974,0.965847717,0.098983051,0.747685185,0.5,0.574016448,0.49829966,0.204681873,0.068162332,Crop Rotation,0.519150066,588.442,0.079310345
1990,Australia,Victoria,Rice,0.737934484,0.576163057,0.938305085,0.716666667,0,0.685152256,0.964392879,0.767907163,0.819091169,No Adaptation,0.323575888,378.436,0.028142857
1990,Canada,Ontario,Wheat,0.846211553,0.846223638,0.784067797,0.395833333,0.4,0.686708157,0.874574915,0.535214086,0.251786225,Crop Rotation,0.841786908,530.378,0.021984733
1990,Russia,Volga,Coffee,0.473368342,0.842769475,0.991186441,0.80625,0.4,0.670593465,0.263052611,0.866246499,0.496713347,No Adaptation,0.445969225,525.804,0.039029473
1990,Brazil,Northeast,Corn,0.372843211,0.530219466,0.004745763,0.050925926,0.3,0.185263392,0.133626725,0.199179672,0.97956559,Crop Rotation,0.180892677,340.67,0.024257784
1990,India,Maharashtra,Wheat,0.532133033,0.272646739,0.383389831,0.273148148,1,0.181262503,0.441288258,0.142456983,0.243355244,No Adaptation,0.102317177,203.116,0.043664613
1990,India,Ile-De-France,Cotton,0.244061015,0.130158027,0.942372881,0.141666667,0.7,0.711380307,0.801760352,0.798419368,0.496713347,No Adaptation,0.273935964,124.227,0.008782666
1990,Usa,Midwest,Rice,0.206551638,0.405851717,0.697966102,0.3625,1,0.594576573,0.957591518,0.567727091,0.793226636,Drought-resistant Crops,0.539465845,276.576,0.019081874
1990,Russia,Central,Cotton,0.35483871,0.443504601,0.764745763,0.15,0.5,0.4400978,0.446289258,0.119347739,0.431408974,Water Management,0.252985519,299.028,0.031131273
1990,Australia,Victoria,Coffee,0.772693173,0.784505915,0.120338983,0.763888889,0.5,0.975994665,0.013202641,0.56452581,0.523863961,Crop Rotation,1,489.266,0.064521679
1990,Brazil,Southeast,Coffee,0.361090273,0.466001315,0.857966102,0.402083333,0.2,0.502222716,0.063012603,0.422869148,0.496713347,Drought-resistant Crops,0.493368391,311.924,0.047082885
1990,China,East,Fruits,0.476369092,0.949934274,0.488135593,0.548611111,0.1,0.023671927,0.928585717,0.81362545,0.84438411,Water Management,0.628616947,580.79,0.02189781
1990,Argentina,Northeast,Sugarcane,0.500375094,0.955253043,0.74779661,0.872916667,0,0.957768393,0.4924985,0.68717487,0.496713347,Drought-resistant Crops,1,586.154,0.044742421
1990,China,South,Soybeans,0.63915979,0.552780477,0.638305085,0.395833333,0.4,0.805178929,0.881176235,0.50060024,0.756787654,Organic Farming,0.89437997,362.304,0.022708158
1990,France,Provence-Alpes-Cote D’Azur,Vegetables,0.601150288,0.780651683,0.497966102,0.708333333,0.5,0.54956657,0.273254651,0.738595438,0.718490997,Drought-resistant Crops,0.962243867,488.392,0.039652056
1990,India,Central,Coffee,0.502375594,0.845691404,0.807457627,0.479166667,0,0.987108246,0.49829966,0.211784714,0.496713347,Water Management,0.601371655,525.362,0.053491828
1990,India,Punjab,Vegetables,0.752688172,0.939257444,0.552542373,0.104166667,0.1,0.598799733,0.675535107,0.945678271,0.312946556,Crop Rotation,0.160706422,578.697,0.006958942
1990,Nigeria,South East,Fruits,0.377844461,0.108532891,0.112542373,0.462962963,0.4,0.776283619,0.379675935,0.75030012,0.459559874,Drought-resistant Crops,0.685225242,105.78,0.025786759
1990,France,Grand Est,Barley,0.423855964,0.636205492,0.497966102,0.861111111,0,0.561791509,0.49829966,0.49719888,0.053158045,Crop Rotation,0.806109629,404.389,0.055129561
1990,China,Central,Barley,0.497124281,0.836450534,0.346440678,0.583333333,0.4,0.284507668,0.229645929,0.494197679,0.293226636,No Adaptation,0.21722405,516.845,0.047972864
1990,Canada,Ontario,Wheat,0.170292573,0.597252386,0.497966102,0.506944444,0.5,0.150922427,0.065613123,0.220888355,0.444412689,Crop Rotation,0.347120042,380.537,0.100037893
1990,China,North,Barley,0.457364341,0.778694205,0.479661017,0.953703704,1,0.614025339,0.549109822,0.509003601,0.120034296,Drought-resistant Crops,1,486.409,0.057585685
1990,China,South,Wheat,0.230057514,0.81979768,0.023728814,0.111111111,0.2,0.05223383,0.198039608,0.102140856,0.907402115,No Adaptation,0.223363469,501.061,0.043992431
1990,France,Nouvelle-Aquitaine,Coffee,0.685171293,0.330610247,0.660338983,0.395833333,0.3,0.627806179,0.214842969,0.225290116,0.2957988,Crop Rotation,0.226005751,238.457,0.062992126
